"","cluster_psnuuid","operatingunit","psnu","psnuuid","fy17snuprioritization","cluster_psnu","cluster_snu1","cluster_fy17snuprioritization","cluster_set","cluster_submitter","cluster_date","uid"
"40","Bx71ekAkh9C","Rwanda","Nyanza","t1yFBKpeJ3g","","South","[Clustered]","[NOT DEFINED]",1,"A.Radin","3/9/2017","E53HuVbB0yQ"
"41","Bx71ekAkh9C","Rwanda","Gisagara","N7QewyoSyOm","","South","[Clustered]","[NOT DEFINED]",1,"A.Radin","3/9/2017","E53HuVbB0yQ"
"42","Bx71ekAkh9C","Rwanda","Kamonyi","iDEedbBwnh8","","South","[Clustered]","[NOT DEFINED]",1,"A.Radin","3/9/2017","E53HuVbB0yQ"
"43","Bx71ekAkh9C","Rwanda","Nyaruguru","MM9eEsWLFws","","South","[Clustered]","[NOT DEFINED]",1,"A.Radin","3/9/2017","E53HuVbB0yQ"
"44","C4PnwquCK8U","Haiti","Port-au-Prince","C4PnwquCK8U","1 - Scale-Up: Saturation","Greater Port-au-Prince Cluster","[Clustered]","1 - Scale-Up: Saturation",1,"M. Melchior","1/12/2017","DqN1mJeVZhS"
"45","C4PnwquCK8U","Haiti","Croix-Desbouquets","X1q3hSFTVw4","1 - Scale-Up: Saturation","Greater Port-au-Prince Cluster","[Clustered]","1 - Scale-Up: Saturation",1,"M. Melchior","1/12/2017","DqN1mJeVZhS"
"46","C4PnwquCK8U","Haiti","L??og??ne","nbvAsGLaXdk","1 - Scale-Up: Saturation","Greater Port-au-Prince Cluster","[Clustered]","1 - Scale-Up: Saturation",1,"M. Melchior","1/12/2017","DqN1mJeVZhS"
"47","cdSO66LSlGQ","Tanzania","Mafinga TC","cdSO66LSlGQ","4 - Sustained","Mufindi Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","BPGx9zdhZE5"
"48","cdSO66LSlGQ","Tanzania","Mufindi DC","AaejvOngJzv","1 - Scale-Up: Saturation","Mufindi Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","BPGx9zdhZE5"
"49","cRUzcZywrbr","Tanzania","Namtumbo DC","cRUzcZywrbr","4 - Sustained","Songea-Namtumbo Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","Vl502TktfP6"
"50","cRUzcZywrbr","Tanzania","Songea DC","ZuIC9W3V9Er","2 - Scale-Up: Aggressive","Songea-Namtumbo Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","Vl502TktfP6"
"51","cRUzcZywrbr","Tanzania","Songea MC","RbzqqawWFey","1 - Scale-Up: Saturation","Songea-Namtumbo Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","Vl502TktfP6"
"52","dgdbOACMjkJ","Tanzania","Bahi DC","dgdbOACMjkJ","4 - Sustained","Dodoma_Bahi_Chamwino-Manyoni Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","zxVzP0Sgc41"
"53","dgdbOACMjkJ","Tanzania","Chamwino DC","YLCO37nNRDr","4 - Sustained","Dodoma_Bahi_Chamwino-Manyoni Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","zxVzP0Sgc41"
"54","dgdbOACMjkJ","Tanzania","Dodoma MC","shxU5hXKkXr","1 - Scale-Up: Saturation","Dodoma_Bahi_Chamwino-Manyoni Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","zxVzP0Sgc41"
"55","dgdbOACMjkJ","Tanzania","Kiteto DC","RtqbS8T7AuT","4 - Sustained","Dodoma_Bahi_Chamwino-Manyoni Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","zxVzP0Sgc41"
"56","dgdbOACMjkJ","Tanzania","Manyoni DC","PiaL7RCM0h7","2 - Scale-Up: Aggressive","Dodoma_Bahi_Chamwino-Manyoni Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","zxVzP0Sgc41"
"57","e1a8dK5TE6S","Namibia","Engela","e1a8dK5TE6S","2 - Scale-Up: Aggressive","Engela-Eenhana-Okongo Cluster","[Clustered]","[NOT DEFINED]",1,"A.Wolkin","2/3/2017","e93jHDwIfcL"
"58","e1a8dK5TE6S","Namibia","Eenhana","S1IBLD18mtu","2 - Scale-Up: Aggressive","Engela-Eenhana-Okongo Cluster","[Clustered]","[NOT DEFINED]",1,"A.Wolkin","2/3/2017","e93jHDwIfcL"
"59","e1a8dK5TE6S","Namibia","Okongo","vnMTivFAdYZ","4 - Sustained","Engela-Eenhana-Okongo Cluster","[Clustered]","[NOT DEFINED]",1,"A.Wolkin","2/3/2017","e93jHDwIfcL"
"60","Exl9pUAc44P","Tanzania","Kaskazini A","Exl9pUAc44P","4 - Sustained","Unguja/Zanziba Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","ZbLJvonAiCY"
"61","Exl9pUAc44P","Tanzania","Magharibi","lg7nWpRVX85","4 - Sustained","Unguja/Zanziba Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","ZbLJvonAiCY"
"62","Exl9pUAc44P","Tanzania","Mjini","KOlqevxMjvo","2 - Scale-Up: Aggressive","Unguja/Zanziba Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","ZbLJvonAiCY"
"63","gdCBbSRSOyW","Tanzania","Tarime DC","gdCBbSRSOyW","4 - Sustained","Tarime Cluster","[Clustered]","4 - Sustained",1,"N.Solehdin","1/17/2017","naIuYTQl2SL"
"64","gdCBbSRSOyW","Tanzania","Tarime TC","kFtnGYFsmaV","4 - Sustained","Tarime Cluster","[Clustered]","4 - Sustained",1,"N.Solehdin","1/17/2017","naIuYTQl2SL"
"65","ggKkQlp4zmd","Tanzania","Igunga DC","ggKkQlp4zmd","1 - Scale-Up: Saturation","Nzega Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","bTHkpVoIYzb"
"66","ggKkQlp4zmd","Tanzania","Nzega DC","OaWlcFCzUIo","1 - Scale-Up: Saturation","Nzega Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","bTHkpVoIYzb"
"67","ggKkQlp4zmd","Tanzania","Nzega TC","p12xvi2DKUD","4 - Sustained","Nzega Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","bTHkpVoIYzb"
"68","GgXE4SpT2qg","Uganda","Masaka District","GgXE4SpT2qg","1 - Scale-Up: Saturation","Masaka Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/23/2017","D8lUqcPVhiz"
"69","GgXE4SpT2qg","Uganda","Rakai District","wrwOewzkKXu","2 - Scale-Up: Aggressive","Masaka Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/23/2017","D8lUqcPVhiz"
"70","GgXE4SpT2qg","Uganda","Lwengo District","lUwH3eBWnc8","2 - Scale-Up: Aggressive","Masaka Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/23/2017","D8lUqcPVhiz"
"71","GgXE4SpT2qg","Uganda","Lyantonde District","U0X3FFbxLG6","1 - Scale-Up: Saturation","Masaka Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/23/2017","D8lUqcPVhiz"
"72","GgXE4SpT2qg","Uganda","Sembabule District","tpymemEYnck","2 - Scale-Up: Aggressive","Masaka Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/23/2017","D8lUqcPVhiz"
"73","GgXE4SpT2qg","Uganda","Bukomansimbi District","ZqIdMKJYNyc","1 - Scale-Up: Saturation","Masaka Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/23/2017","D8lUqcPVhiz"
"74","GgXE4SpT2qg","Uganda","Kalungu District","NnAkN5yfxOs","1 - Scale-Up: Saturation","Masaka Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/23/2017","D8lUqcPVhiz"
"75","GvTDrgjcU6R","Cameroon","Djoungolo","vewKgey8sOW","1 - Scale-Up: Saturation","Yaounde Cluster","[Clustered]","[NOT DEFINED]",1,"S.Ally","1/17/2017","jB6lrcJ5oFz"
"76","GvTDrgjcU6R","Cameroon","Nkolndongo","YuCzvkHV2X5","4 - Sustained","Yaounde Cluster","[Clustered]","[NOT DEFINED]",1,"S.Ally","1/17/2017","jB6lrcJ5oFz"
"77","GvTDrgjcU6R","Cameroon","Biyem Assi","gOaZeiwAoCD","4 - Sustained","Yaounde Cluster","[Clustered]","[NOT DEFINED]",1,"S.Ally","1/17/2017","jB6lrcJ5oFz"
"78","GvTDrgjcU6R","Cameroon","Cite Verte","NG7DU8YJlw7","4 - Sustained","Yaounde Cluster","[Clustered]","[NOT DEFINED]",1,"S.Ally","1/17/2017","jB6lrcJ5oFz"
"79","GvTDrgjcU6R","Cameroon","Efoulan","JQIkiENA6nM","4 - Sustained","Yaounde Cluster","[Clustered]","[NOT DEFINED]",1,"S.Ally","1/17/2017","jB6lrcJ5oFz"
"80","h1CepDrLWib","Botswana","Francistown District","h1CepDrLWib","4 - Sustained","Greater Francistown Cluster","[Clustered]","4 - Sustained",1,"J. Rofenbender","1/9/2017","L8eXgUtyhPT"
"81","h1CepDrLWib","Botswana","North East District","nszh0FzynAQ","4 - Sustained","Greater Francistown Cluster","[Clustered]","4 - Sustained",1,"J. Rofenbender","1/9/2017","L8eXgUtyhPT"
"82","h1CepDrLWib","Botswana","Tutume District","gchw5PMi4N2","4 - Sustained","Greater Francistown Cluster","[Clustered]","4 - Sustained",1,"J. Rofenbender","1/9/2017","L8eXgUtyhPT"
"83","h420jGWIrGG","Rwanda","Kayonza","FvIvxTjfIYv","","East","[Clustered]","[NOT DEFINED]",1,"A.Radin","3/9/2017","cQ3JYvmwa07"
"84","h420jGWIrGG","Rwanda","Gatsibo","t322Y1Ega8t","","East","[Clustered]","[NOT DEFINED]",1,"A.Radin","3/9/2017","cQ3JYvmwa07"
"85","h420jGWIrGG","Rwanda","Rwamagana","LAqkN1BOIZt","","East","[Clustered]","[NOT DEFINED]",1,"A.Radin","3/9/2017","cQ3JYvmwa07"
"86","h420jGWIrGG","Rwanda","Nyagatare","Y05lBO2eOvv","","East","[Clustered]","[NOT DEFINED]",1,"A.Radin","3/9/2017","cQ3JYvmwa07"
"87","h420jGWIrGG","Rwanda","Bugesera","x34m8BI6gR6","","East","[Clustered]","[NOT DEFINED]",1,"A.Radin","3/9/2017","cQ3JYvmwa07"
"88","h420jGWIrGG","Rwanda","Kirehe","QLjf0UY4SXv","","East","[Clustered]","[NOT DEFINED]",1,"A.Radin","3/9/2017","cQ3JYvmwa07"
"89","h420jGWIrGG","Rwanda","Ngoma","d4A13IVOEAA","","East","[Clustered]","[NOT DEFINED]",1,"A.Radin","3/9/2017","cQ3JYvmwa07"
"90","HjesRNKUP8l","Tanzania","Masasi DC","HjesRNKUP8l","1 - Scale-Up: Saturation","Masasi Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","PYyLnat93Um"
"91","HjesRNKUP8l","Tanzania","Masasi TC","WSV5n7c6bgj","4 - Sustained","Masasi Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","PYyLnat93Um"
"92","HjesRNKUP8l","Tanzania","Nanyumbu DC","L7ammFxiV2i","4 - Sustained","Masasi Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","PYyLnat93Um"
"93","hZ6LXLhUGaP","Tanzania","Bunda DC","hZ6LXLhUGaP","1 - Scale-Up: Saturation","Musoma Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","riczjMy43Cp"
"94","hZ6LXLhUGaP","Tanzania","Butiama DC","QAY9qFSQvjg","4 - Sustained","Musoma Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","riczjMy43Cp"
"95","hZ6LXLhUGaP","Tanzania","Musoma DC","o8ekD6KEXWC","4 - Sustained","Musoma Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","riczjMy43Cp"
"96","hZ6LXLhUGaP","Tanzania","Musoma MC","tWkfmVn0jNf","4 - Sustained","Musoma Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","riczjMy43Cp"
"97","InbAnWjLxj7","Tanzania","Handeni DC","InbAnWjLxj7","4 - Sustained","Handeni-Kilindi Cluster","[Clustered]","4 - Sustained",1,"N.Solehdin","1/17/2017","hKaINnTHCWg"
"98","InbAnWjLxj7","Tanzania","Handeni TC","rs5toMaD5ty","4 - Sustained","Handeni-Kilindi Cluster","[Clustered]","4 - Sustained",1,"N.Solehdin","1/17/2017","hKaINnTHCWg"
"99","InbAnWjLxj7","Tanzania","Kilindi DC","pUY6xNexMCp","4 - Sustained","Handeni-Kilindi Cluster","[Clustered]","4 - Sustained",1,"N.Solehdin","1/17/2017","hKaINnTHCWg"
"100","Iy2ohDSmZYT","Tanzania","Chake Chake","Iy2ohDSmZYT","4 - Sustained","Pemba Cluster","[Clustered]","4 - Sustained",1,"N.Solehdin","1/17/2017","fJfVrt6KgRF"
"101","Iy2ohDSmZYT","Tanzania","Wete","CtMgY8VZogi","4 - Sustained","Pemba Cluster","[Clustered]","4 - Sustained",1,"N.Solehdin","1/17/2017","fJfVrt6KgRF"
"102","j8AIF1TBisq","Tanzania","Kyerwa DC","j8AIF1TBisq","4 - Sustained","Kyerwa-Missenyi Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","F8uqsJTeBFS"
"103","j8AIF1TBisq","Tanzania","Missenyi DC","xA6NDbxZAgx","2 - Scale-Up: Aggressive","Kyerwa-Missenyi Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","F8uqsJTeBFS"
"104","JTjAenidfVN","Tanzania","Morogoro DC","JTjAenidfVN","4 - Sustained","Morogoro Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","nk4tHwPEpNM"
"105","JTjAenidfVN","Tanzania","Morogoro MC","XtlpVAd1gll","1 - Scale-Up: Saturation","Morogoro Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","nk4tHwPEpNM"
"106","JTjAenidfVN","Tanzania","Mvomero DC","jR3z7M5rpa1","2 - Scale-Up: Aggressive","Morogoro Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","nk4tHwPEpNM"
"107","Knm8JL1QpjL","Tanzania","Ilemela MC","Knm8JL1QpjL","2 - Scale-Up: Aggressive","Mwanza Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","awpmWtC90JH"
"108","Knm8JL1QpjL","Tanzania","Nyamagana MC","RxbRsCG8uH4","1 - Scale-Up: Saturation","Mwanza Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","awpmWtC90JH"
"109","Knm8JL1QpjL","Tanzania","Sengerema DC","if4TkLUE35J","2 - Scale-Up: Aggressive","Mwanza Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","awpmWtC90JH"
"110","Knm8JL1QpjL","Tanzania","Ukerewe DC","cHzpHbKk60d","4 - Sustained","Mwanza Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","awpmWtC90JH"
"111","kUikmXEZjNy","Tanzania","Arusha CC","kUikmXEZjNy","1 - Scale-Up: Saturation","Arusha-Meru_Monduli Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","OBkbd5PMQoD"
"112","kUikmXEZjNy","Tanzania","Arusha DC","QL3f2eyizTy","2 - Scale-Up: Aggressive","Arusha-Meru_Monduli Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","OBkbd5PMQoD"
"113","kUikmXEZjNy","Tanzania","Meru DC","IvFsAvEMGoN","2 - Scale-Up: Aggressive","Arusha-Meru_Monduli Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","OBkbd5PMQoD"
"114","kUikmXEZjNy","Tanzania","Monduli DC","GWyu5TpbqZR","4 - Sustained","Arusha-Meru_Monduli Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","OBkbd5PMQoD"
"115","lEMyFfXc5fI","Uganda","Kabale District","lEMyFfXc5fI","1 - Scale-Up: Saturation","Kabale Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/23/2017","OoJRAz7kG62"
"116","lEMyFfXc5fI","Uganda","Kisoro District","CrULNvqXGDj","4 - Sustained","Kabale Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/23/2017","OoJRAz7kG62"
"117","mj8vc80DZnW","Democratic Republic of the Congo","Kambove","mj8vc80DZnW","4 - Sustained","Haut-Katanga Sustained","[NOT DEFINED]","4 - Sustained",1,"L.Tally","1/25/2017","gjLfZvyF7bB"
"118","mj8vc80DZnW","Democratic Republic of the Congo","Kapolowe","iBIl1QevIrG","4 - Sustained","Haut-Katanga Sustained","[NOT DEFINED]","4 - Sustained",1,"L.Tally","1/25/2017","gjLfZvyF7bB"
"119","mj8vc80DZnW","Democratic Republic of the Congo","Kasenga","KtqjtVhTZdP","4 - Sustained","Haut-Katanga Sustained","[NOT DEFINED]","4 - Sustained",1,"L.Tally","1/25/2017","gjLfZvyF7bB"
"120","mj8vc80DZnW","Democratic Republic of the Congo","Kashobwe","abCVuLIqXPM","4 - Sustained","Haut-Katanga Sustained","[NOT DEFINED]","4 - Sustained",1,"L.Tally","1/25/2017","gjLfZvyF7bB"
"121","mj8vc80DZnW","Democratic Republic of the Congo","Kikula","jf7kv5ZPbM2","4 - Sustained","Haut-Katanga Sustained","[NOT DEFINED]","4 - Sustained",1,"L.Tally","1/25/2017","gjLfZvyF7bB"
