operatingunit,psnu,psnuuid,currentsnuprioritization,cluster_psnu,cluster_snu1,cluster_psnuuid,cluster_currentsnuprioritization,cluster_set,cluster_submitter,cluster_date
Uganda,Sembabule District,tpymemEYnck,2 - Scale-Up: Aggressive,Masaka Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Bukomansimbi District,ZqIdMKJYNyc,1 - Scale-Up: Saturation,Masaka Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Kalungu District,NnAkN5yfxOs,1 - Scale-Up: Saturation,Masaka Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Kabale District,lEMyFfXc5fI,1 - Scale-Up: Saturation,Kabale Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Kisoro District,CrULNvqXGDj,4 - Sustained,Kabale Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Soroti District,yCVI5WlzkF0,1 - Scale-Up: Saturation,Soroti Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Amuria District,kyxzmUPEuDx,4 - Sustained,Soroti Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Kaberamaido District,hcORKLsjQcP,4 - Sustained,Soroti Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Serere District,aaBbWMyFu8Q,4 - Sustained,Soroti Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Ngora District,zBtTOW32g52,4 - Sustained,Soroti Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Katakwi District,AUY4rGf5rCC,2 - Scale-Up: Aggressive,Soroti Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Lira District,sVmb2FInHpI,1 - Scale-Up: Saturation,Lira Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Kole District,sOvyWDakEpr,2 - Scale-Up: Aggressive,Lira Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Otuke District,bliiq8a0ZMa,4 - Sustained,Lira Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Alebtong District,D6upnSGqMuH,4 - Sustained,Lira Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Dokolo District,G7b1qt8AWXX,1 - Scale-Up: Saturation,Lira Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Amolatar District,goAaVw5euIo,4 - Sustained,Lira Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Apac District,HDDanYisp0p,2 - Scale-Up: Aggressive,Lira Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Buikwe District,lR8aTjNz6XY,1 - Scale-Up: Saturation,Jinja Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Iganga District,tT1gKtPhvCL,2 - Scale-Up: Aggressive,Jinja Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Jinja District,h2wCziavPlv,1 - Scale-Up: Saturation,Jinja Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Kamuli District,h6FBV6CyGKR,2 - Scale-Up: Aggressive,Jinja Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Kayunga District,yhEeMg6lF5S,2 - Scale-Up: Aggressive,Jinja Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Mayuge District,sprbpgBWUqd,2 - Scale-Up: Aggressive,Jinja Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
